date,description,amount,month,category,type
2026-06-02,Big Bazaar Grocery,-2450.0,2026-06,Groceries,Expense
2026-06-03,Monthly Salary,65000.0,2026-06,Income,Income
2026-06-04,Uber Ride,-320.5,2026-06,Transport,Expense
2026-06-05,Netflix Subscription,-499.0,2026-06,Entertainment,Expense
2026-06-06,Electricity Bill BSES,-1850.0,2026-06,Utilities,Expense
2026-06-07,Zomato Order,-540.0,2026-06,Food & Dining,Expense
2026-06-08,Amazon Shopping,-3200.0,2026-06,Shopping,Expense
2026-06-10,Apollo Pharmacy,-680.0,2026-06,Health & Fitness,Expense
2026-06-11,Movie Tickets PVR,-900.0,2026-06,Entertainment,Expense
2026-06-12,Rent Payment,-15000.0,2026-06,Rent,Expense
2026-06-14,Swiggy Order,-410.0,2026-06,Food & Dining,Expense
2026-06-15,Gym Membership,-1500.0,2026-06,Health & Fitness,Expense
2026-06-16,Mobile Recharge Jio,-599.0,2026-06,Utilities,Expense
2026-06-18,Petrol Pump,-2000.0,2026-06,Transport,Expense
2026-06-19,Freelance Project Income,8000.0,2026-06,Income,Income
2026-06-20,Big Bazaar Grocery,-1980.0,2026-06,Groceries,Expense
2026-06-21,Spotify Subscription,-119.0,2026-06,Entertainment,Expense
2026-06-22,Ola Ride,-280.0,2026-06,Transport,Expense
2026-06-24,Water Bill,-450.0,2026-06,Utilities,Expense
2026-06-26,Flipkart Shopping,-2100.0,2026-06,Shopping,Expense
2026-06-28,Restaurant Dinner,-1650.0,2026-06,Food & Dining,Expense
2026-06-29,Internet Bill Airtel,-999.0,2026-06,Utilities,Expense
2026-07-02,Big Bazaar Grocery,-2600.0,2026-07,Groceries,Expense
2026-07-03,Monthly Salary,65000.0,2026-07,Income,Income
2026-07-04,Uber Ride,-410.0,2026-07,Transport,Expense
2026-07-05,Netflix Subscription,-499.0,2026-07,Entertainment,Expense
2026-07-06,Electricity Bill BSES,-2100.0,2026-07,Utilities,Expense
2026-07-07,Zomato Order,-620.0,2026-07,Food & Dining,Expense
2026-07-09,Amazon Shopping,-4500.0,2026-07,Shopping,Expense
2026-07-10,Apollo Pharmacy,-320.0,2026-07,Health & Fitness,Expense
2026-07-12,Rent Payment,-15000.0,2026-07,Rent,Expense
2026-07-13,Swiggy Order,-580.0,2026-07,Food & Dining,Expense
2026-07-15,Gym Membership,-1500.0,2026-07,Health & Fitness,Expense
2026-07-16,Mobile Recharge Jio,-599.0,2026-07,Utilities,Expense
2026-07-17,Movie Tickets PVR,-1100.0,2026-07,Entertainment,Expense
2026-07-19,Petrol Pump,-2200.0,2026-07,Transport,Expense
2026-07-21,Big Bazaar Grocery,-2050.0,2026-07,Groceries,Expense
2026-07-22,Spotify Subscription,-119.0,2026-07,Entertainment,Expense
2026-07-23,Ola Ride,-350.0,2026-07,Transport,Expense
2026-07-25,Water Bill,-450.0,2026-07,Utilities,Expense
2026-07-27,Flipkart Shopping,-1800.0,2026-07,Shopping,Expense
2026-07-29,Internet Bill Airtel,-999.0,2026-07,Utilities,Expense
2026-07-30,Restaurant Dinner,-2200.0,2026-07,Food & Dining,Expense
2026-08-02,Big Bazaar Grocery,-2750.0,2026-08,Groceries,Expense
2026-08-03,Monthly Salary,65000.0,2026-08,Income,Income
2026-08-04,Uber Ride,-390.0,2026-08,Transport,Expense
2026-08-05,Netflix Subscription,-499.0,2026-08,Entertainment,Expense
2026-08-06,Electricity Bill BSES,-2400.0,2026-08,Utilities,Expense
2026-08-07,Zomato Order,-700.0,2026-08,Food & Dining,Expense
2026-08-08,Amazon Shopping,-5200.0,2026-08,Shopping,Expense
2026-08-10,Apollo Pharmacy,-540.0,2026-08,Health & Fitness,Expense
2026-08-11,Movie Tickets PVR,-950.0,2026-08,Entertainment,Expense
2026-08-12,Rent Payment,-15000.0,2026-08,Rent,Expense
2026-08-14,Swiggy Order,-460.0,2026-08,Food & Dining,Expense
2026-08-15,Gym Membership,-1500.0,2026-08,Health & Fitness,Expense
2026-08-16,Mobile Recharge Jio,-599.0,2026-08,Utilities,Expense
2026-08-18,Petrol Pump,-2300.0,2026-08,Transport,Expense
2026-08-19,Freelance Project Income,5000.0,2026-08,Income,Income
2026-08-20,Big Bazaar Grocery,-2300.0,2026-08,Groceries,Expense
2026-08-21,Spotify Subscription,-119.0,2026-08,Entertainment,Expense
2026-08-22,Ola Ride,-310.0,2026-08,Transport,Expense
2026-08-24,Water Bill,-450.0,2026-08,Utilities,Expense
2026-08-26,Flipkart Shopping,-2900.0,2026-08,Shopping,Expense
2026-08-28,Restaurant Dinner,-1950.0,2026-08,Food & Dining,Expense
2026-08-29,Internet Bill Airtel,-999.0,2026-08,Utilities,Expense
