date,description,amount
2026-06-02,Big Bazaar Grocery,-2450.00
2026-06-03,Monthly Salary,65000.00
2026-06-04,Uber Ride,-320.50
2026-06-05,Netflix Subscription,-499.00
2026-06-06,Electricity Bill BSES,-1850.00
2026-06-07,Zomato Order,-540.00
2026-06-08,Amazon Shopping,-3200.00
2026-06-10,Apollo Pharmacy,-680.00
2026-06-11,Movie Tickets PVR,-900.00
2026-06-12,Rent Payment,-15000.00
2026-06-14,Swiggy Order,-410.00
2026-06-15,Gym Membership,-1500.00
2026-06-16,Mobile Recharge Jio,-599.00
2026-06-18,Petrol Pump,-2000.00
2026-06-19,Freelance Project Income,8000.00
2026-06-20,Big Bazaar Grocery,-1980.00
2026-06-21,Spotify Subscription,-119.00
2026-06-22,Ola Ride,-280.00
2026-06-24,Water Bill,-450.00
2026-06-26,Flipkart Shopping,-2100.00
2026-06-28,Restaurant Dinner,-1650.00
2026-06-29,Internet Bill Airtel,-999.00
2026-07-02,Big Bazaar Grocery,-2600.00
2026-07-03,Monthly Salary,65000.00
2026-07-04,Uber Ride,-410.00
2026-07-05,Netflix Subscription,-499.00
2026-07-06,Electricity Bill BSES,-2100.00
2026-07-07,Zomato Order,-620.00
2026-07-09,Amazon Shopping,-4500.00
2026-07-10,Apollo Pharmacy,-320.00
2026-07-12,Rent Payment,-15000.00
2026-07-13,Swiggy Order,-580.00
2026-07-15,Gym Membership,-1500.00
2026-07-16,Mobile Recharge Jio,-599.00
2026-07-17,Movie Tickets PVR,-1100.00
2026-07-19,Petrol Pump,-2200.00
2026-07-21,Big Bazaar Grocery,-2050.00
2026-07-22,Spotify Subscription,-119.00
2026-07-23,Ola Ride,-350.00
2026-07-25,Water Bill,-450.00
2026-07-27,Flipkart Shopping,-1800.00
2026-07-29,Internet Bill Airtel,-999.00
2026-07-30,Restaurant Dinner,-2200.00
2026-08-02,Big Bazaar Grocery,-2750.00
2026-08-03,Monthly Salary,65000.00
2026-08-04,Uber Ride,-390.00
2026-08-05,Netflix Subscription,-499.00
2026-08-06,Electricity Bill BSES,-2400.00
2026-08-07,Zomato Order,-700.00
2026-08-08,Amazon Shopping,-5200.00
2026-08-10,Apollo Pharmacy,-540.00
2026-08-11,Movie Tickets PVR,-950.00
2026-08-12,Rent Payment,-15000.00
2026-08-14,Swiggy Order,-460.00
2026-08-15,Gym Membership,-1500.00
2026-08-16,Mobile Recharge Jio,-599.00
2026-08-18,Petrol Pump,-2300.00
2026-08-19,Freelance Project Income,5000.00
2026-08-20,Big Bazaar Grocery,-2300.00
2026-08-21,Spotify Subscription,-119.00
2026-08-22,Ola Ride,-310.00
2026-08-24,Water Bill,-450.00
2026-08-26,Flipkart Shopping,-2900.00
2026-08-28,Restaurant Dinner,-1950.00
2026-08-29,Internet Bill Airtel,-999.00
