Date,Customer,Product,Category,Quantity,Price,Revenue
2026-06-13,Customer_4,Laptop,Electronics,5,133.77,668.85
2026-02-05,Customer_24,Mouse,Accessories,9,57.17,514.53
2026-04-19,Customer_2,Laptop,Electronics,2,121.04,242.08
2026-05-10,Customer_20,Laptop,Electronics,9,111.44,1002.96
2026-06-16,Customer_23,Speaker,Accessories,7,121.91,853.37
2026-05-31,Customer_9,Laptop,Electronics,3,353.6,1060.8
2026-03-29,Customer_9,Keyboard,Accessories,4,479.25,1917.0
2026-03-28,Customer_4,Mouse,Accessories,7,61.91,433.37
2026-03-30,Customer_20,Headphones,Accessories,1,368.92,368.92
2026-05-18,Customer_4,Printer,Office,2,282.74,565.48
2026-06-10,Customer_20,Webcam,Electronics,10,108.26,1082.6
2026-01-18,Customer_2,Monitor,Electronics,5,492.83,2464.15
2026-03-01,Customer_4,Printer,Office,5,234.9,1174.5
2026-04-04,Customer_6,Webcam,Electronics,6,116.61,699.66
2026-03-10,Customer_23,Mouse,Accessories,10,322.96,3229.6
2026-05-17,Customer_24,Monitor,Electronics,3,239.2,717.6
2026-03-11,Customer_21,Speaker,Accessories,4,347.04,1388.16
2026-01-15,Customer_8,Laptop,Electronics,6,209.56,1257.36
2026-01-17,Customer_7,Router,Office,6,118.12,708.72
2026-05-08,Customer_13,Tablet,Electronics,3,143.47,430.41
2026-03-05,Customer_24,Speaker,Accessories,9,142.43,1281.87
2026-05-30,Customer_14,Router,Office,7,190.57,1333.99
2026-02-05,Customer_17,Tablet,Electronics,2,381.55,763.1
2026-01-29,Customer_5,Keyboard,Accessories,7,304.26,2129.82
2026-04-09,Customer_13,Router,Office,8,271.62,2172.96
2026-05-22,Customer_1,Mouse,Accessories,9,379.18,3412.62
2026-06-14,Customer_11,Mouse,Accessories,5,225.86,1129.3
2026-04-27,Customer_1,Headphones,Accessories,9,384.55,3460.95
2026-05-10,Customer_4,Headphones,Accessories,9,310.35,2793.15
2026-02-09,Customer_12,Keyboard,Accessories,9,477.45,4297.05
2026-05-16,Customer_1,Router,Office,6,251.97,1511.82
2026-01-29,Customer_12,Headphones,Accessories,4,43.09,172.36
2026-05-26,Customer_3,Mouse,Accessories,8,410.77,3286.16
2026-05-17,Customer_25,Keyboard,Accessories,3,334.98,1004.94
2026-05-21,Customer_6,Headphones,Accessories,9,438.13,3943.17
2026-04-19,Customer_7,Speaker,Accessories,4,360.78,1443.12
2026-04-13,Customer_22,Webcam,Electronics,8,451.31,3610.48
2026-04-26,Customer_4,Monitor,Electronics,4,46.05,184.2
2026-01-06,Customer_19,Speaker,Accessories,4,300.39,1201.56
2026-01-02,Customer_3,Laptop,Electronics,4,47.69,190.76
2026-01-09,Customer_11,Mouse,Accessories,9,130.43,1173.87
2026-06-21,Customer_16,Monitor,Electronics,9,79.17,712.53
2026-05-27,Customer_19,Tablet,Electronics,4,395.54,1582.16
2026-04-15,Customer_7,Mouse,Accessories,2,334.61,669.22
2026-04-01,Customer_14,Printer,Office,8,433.96,3471.68
2026-01-14,Customer_22,Mouse,Accessories,1,210.27,210.27
2026-03-28,Customer_4,Monitor,Electronics,4,107.25,429.0
2026-04-25,Customer_5,Printer,Office,3,150.09,450.27
2026-03-05,Customer_3,Tablet,Electronics,9,62.49,562.41
2026-06-16,Customer_18,Laptop,Electronics,2,464.29,928.58
2026-03-02,Customer_6,Printer,Office,8,248.46,1987.68
2026-04-13,Customer_2,Keyboard,Accessories,7,16.05,112.35
2026-04-10,Customer_9,Tablet,Electronics,5,220.16,1100.8
2026-05-23,,Tablet,Electronics,3,107.1,321.3
2026-02-25,Customer_2,Router,Office,9,44.56,401.04
2026-03-22,Customer_2,Laptop,Electronics,10,246.24,2462.4
2026-05-16,Customer_6,Laptop,Electronics,9,53.85,484.65
