date,symbol,close_price
2026-05-19,AAPL,190
2026-05-20,AAPL,189.51
2026-05-21,AAPL,191.06
2026-05-22,AAPL,190.65
2026-05-23,AAPL,190.0
2026-05-24,AAPL,187.72
2026-05-25,AAPL,187.35
2026-05-26,AAPL,190.45
2026-05-27,AAPL,191.77
2026-05-28,AAPL,194.75
2026-05-29,AAPL,195.62
2026-05-30,AAPL,196.9
2026-05-31,AAPL,197.61
2026-06-01,AAPL,193.2
2026-06-02,AAPL,195.71
2026-06-03,AAPL,197.29
2026-06-04,AAPL,198.87
2026-06-05,AAPL,194.36
2026-06-06,AAPL,189.81
2026-06-07,AAPL,187.64
2026-06-08,AAPL,186.6
2026-06-09,AAPL,187.58
2026-06-10,AAPL,187.65
2026-06-11,AAPL,189.21
2026-06-12,AAPL,187.7
2026-06-13,AAPL,188.7
2026-06-14,AAPL,189.93
2026-06-15,AAPL,188.36
2026-06-16,AAPL,193.08
2026-06-17,AAPL,194.78
2026-06-18,AAPL,198.24
2026-06-19,AAPL,196.72
2026-06-20,AAPL,194.88
2026-06-21,AAPL,194.14
2026-06-22,AAPL,194.04
2026-06-23,AAPL,195.95
2026-06-24,AAPL,196.83
2026-06-25,AAPL,195.79
2026-06-26,AAPL,193.36
2026-06-27,AAPL,192.14
2026-06-28,AAPL,195.62
2026-06-29,AAPL,193.6
2026-06-30,AAPL,194.46
2026-07-01,AAPL,195.82
2026-07-02,AAPL,191.93
2026-07-03,AAPL,192.25
2026-07-04,AAPL,195.96
2026-07-05,AAPL,190.63
2026-07-06,AAPL,189.96
2026-07-07,AAPL,189.87
2026-07-08,AAPL,187.89
2026-07-09,AAPL,189.39
2026-07-10,AAPL,189.41
2026-07-11,AAPL,185.72
2026-07-12,AAPL,188.06
2026-07-13,AAPL,190.01
2026-07-14,AAPL,192.72
2026-07-15,AAPL,196.8
2026-07-16,AAPL,197.99
2026-07-17,AAPL,198.52
2026-07-18,AAPL,195.11
2026-07-19,AAPL,196.99
2026-07-20,AAPL,195.5
2026-07-21,AAPL,194.46
2026-07-22,AAPL,191.21
2026-07-23,AAPL,188.81
2026-07-24,AAPL,187.59
2026-07-25,AAPL,191.16
2026-07-26,AAPL,185.91
2026-07-27,AAPL,182.3
2026-07-28,AAPL,183.09
2026-07-29,AAPL,186.97
2026-07-30,AAPL,188.67
2026-07-31,AAPL,183.84
2026-08-01,AAPL,177.54
2026-08-02,AAPL,178.61
2026-08-03,AAPL,176.95
2026-08-04,AAPL,174.35
2026-08-05,AAPL,176.91
2026-08-06,AAPL,179.82
2026-08-07,AAPL,180.4
2026-08-08,AAPL,181.2
2026-08-09,AAPL,182.48
2026-08-10,AAPL,186.73
2026-08-11,AAPL,188.54
2026-08-12,AAPL,190.1
2026-08-13,AAPL,191.75
2026-08-14,AAPL,187.73
2026-08-15,AAPL,191.29
2026-08-16,AAPL,194.04
2026-08-17,AAPL,195.67
2026-08-18,AAPL,190.46
2026-08-19,AAPL,188.96
2026-08-20,AAPL,191.38
2026-08-21,AAPL,186.72
2026-08-22,AAPL,186.43
2026-08-23,AAPL,189.28
2026-08-24,AAPL,185.99
2026-08-25,AAPL,190.37
2026-08-26,AAPL,192.03
2026-08-27,AAPL,191.82
2026-08-28,AAPL,192.88
2026-08-29,AAPL,194.83
2026-08-30,AAPL,195.35
2026-08-31,AAPL,198.68
2026-09-01,AAPL,197.04
2026-09-02,AAPL,196.09
2026-09-03,AAPL,199.15
2026-09-04,AAPL,199.42
2026-09-05,AAPL,197.16
2026-09-06,AAPL,199.97
2026-09-07,AAPL,204.27
2026-09-08,AAPL,203.2
2026-09-09,AAPL,199.48
2026-09-10,AAPL,199.3
2026-09-11,AAPL,199.08
2026-09-12,AAPL,198.45
2026-09-13,AAPL,202.55
2026-09-14,AAPL,199.84
2026-09-15,AAPL,203.57
2026-05-19,MSFT,410
2026-05-20,MSFT,403.81
2026-05-21,MSFT,400.24
2026-05-22,MSFT,404.09
2026-05-23,MSFT,410.58
2026-05-24,MSFT,415.74
2026-05-25,MSFT,418.19
2026-05-26,MSFT,419.55
2026-05-27,MSFT,420.97
2026-05-28,MSFT,424.71
2026-05-29,MSFT,424.33
