transaction_id,date,account_id,amount,category
538,2024-01-01,ACC1012,2131.54,Entertainment
125,2024-01-01,ACC1006,4017.09,Groceries
53,2024-01-01,ACC1019,2833.34,Travel
722,2024-01-01,ACC9999,2076.53,Groceries
615,2024-01-01,ACC1019,666.79,Utilities
269,2024-01-01,ACC1019,4374.96,Travel
635,2024-01-01,ACC1009,2790.15,Travel
458,2024-01-02,ACC1018,731.05,Transfer
224,2024-01-02,ACC1017,400.2,Electronics
17,2024-01-02,ACC1003,624.12,Electronics
578,2024-01-02,ACC1013,1238.4,Electronics
570,2024-01-02,ACC1008,178.1,Healthcare
648,2024-01-02,ACC1022,2935.93,Groceries
655,2024-01-02,ACC1010,1468.7,Healthcare
340,2024-01-02,ACC1009,1216.23,Utilities
274,2024-01-02,ACC1000,1907.14,Travel
356,2024-01-02,ACC1011,1998.73,Dining
728,2024-01-02,ACC9999,1892.42,Transfer
729,2024-01-02,ACC9999,1087.05,Groceries
155,2024-01-02,ACC1010,993.51,Utilities
513,2024-01-02,ACC1019,3985.55,Dining
263,2024-01-02,ACC1005,4793.88,Entertainment
394,2024-01-03,ACC1018,875.18,Entertainment
472,2024-01-03,ACC1002,1489.81,Entertainment
353,2024-01-03,ACC1002,440.61,Utilities
278,2024-01-03,ACC1016,1331.35,Entertainment
475,2024-01-03,ACC1020,911.75,Electronics
227,2024-01-03,ACC1004,389.73,Transfer
568,2024-01-03,ACC1005,2336.8,Utilities
253,2024-01-03,ACC1011,1642.58,Utilities
613,2024-01-03,ACC1003,862.24,Transfer
206,2024-01-03,ACC1019,558.03,Groceries
57,2024-01-03,ACC1004,2114.23,Travel
687,2024-01-03,ACC1014,2862.13,Electronics
547,2024-01-03,ACC1002,470.09,Transfer
450,2024-01-03,ACC1001,783.95,Transfer
326,2024-01-04,ACC1002,1104.3,Utilities
192,2024-01-04,ACC1007,1525.07,Utilities
171,2024-01-04,ACC1002,449.92,Entertainment
471,2024-01-04,ACC1005,2785.06,Entertainment
469,2024-01-04,ACC1004,2285.1,Transfer
605,2024-01-04,ACC1023,3647.14,Utilities
603,2024-01-04,ACC1019,1474.22,Healthcare
736,2024-01-04,ACC9999,1745.42,Entertainment
656,2024-01-04,ACC1008,4384.12,Electronics
554,2024-01-04,ACC1016,492.7,Healthcare
752,2024-01-04,ACC9999,1104.47,Entertainment
506,2024-01-04,ACC1018,682.72,Electronics
499,2024-01-04,ACC1001,578.76,Groceries
36,2024-01-04,ACC1004,2395.18,Utilities
