transaction_id,date,account_id,amount,category,is_duplicate,is_high_value,is_suspicious_account,risk_score,risk_level
538,2024-01-01,ACC1012,2131.54,Entertainment,False,False,False,0.0,Low
125,2024-01-01,ACC1006,4017.09,Groceries,False,False,False,0.0,Low
53,2024-01-01,ACC1019,2833.34,Travel,False,False,False,0.0,Low
722,2024-01-01,ACC9999,2076.53,Groceries,False,False,True,25.0,Low
615,2024-01-01,ACC1019,666.79,Utilities,False,False,False,0.0,Low
269,2024-01-01,ACC1019,4374.96,Travel,False,False,False,0.0,Low
635,2024-01-01,ACC1009,2790.15,Travel,False,False,False,0.0,Low
458,2024-01-02,ACC1018,731.05,Transfer,False,False,False,0.0,Low
224,2024-01-02,ACC1017,400.2,Electronics,False,False,False,0.0,Low
17,2024-01-02,ACC1003,624.12,Electronics,False,False,False,0.0,Low
578,2024-01-02,ACC1013,1238.4,Electronics,False,False,False,0.0,Low
570,2024-01-02,ACC1008,178.1,Healthcare,False,False,False,0.0,Low
648,2024-01-02,ACC1022,2935.93,Groceries,False,False,False,0.0,Low
655,2024-01-02,ACC1010,1468.7,Healthcare,False,False,False,0.0,Low
340,2024-01-02,ACC1009,1216.23,Utilities,False,False,False,0.0,Low
274,2024-01-02,ACC1000,1907.14,Travel,False,False,False,0.0,Low
356,2024-01-02,ACC1011,1998.73,Dining,False,False,False,0.0,Low
728,2024-01-02,ACC9999,1892.42,Transfer,False,False,True,25.0,Low
729,2024-01-02,ACC9999,1087.05,Groceries,False,False,True,25.0,Low
155,2024-01-02,ACC1010,993.51,Utilities,False,False,False,0.0,Low
513,2024-01-02,ACC1019,3985.55,Dining,False,False,False,0.0,Low
263,2024-01-02,ACC1005,4793.88,Entertainment,False,False,False,0.0,Low
394,2024-01-03,ACC1018,875.18,Entertainment,False,False,False,0.0,Low
472,2024-01-03,ACC1002,1489.81,Entertainment,False,False,False,0.0,Low
353,2024-01-03,ACC1002,440.61,Utilities,False,False,False,0.0,Low
278,2024-01-03,ACC1016,1331.35,Entertainment,False,False,False,0.0,Low
475,2024-01-03,ACC1020,911.75,Electronics,False,False,False,0.0,Low
227,2024-01-03,ACC1004,389.73,Transfer,False,False,False,0.0,Low
568,2024-01-03,ACC1005,2336.8,Utilities,False,False,False,0.0,Low
253,2024-01-03,ACC1011,1642.58,Utilities,False,False,False,0.0,Low
613,2024-01-03,ACC1003,862.24,Transfer,False,False,False,0.0,Low
206,2024-01-03,ACC1019,558.03,Groceries,False,False,False,0.0,Low
57,2024-01-03,ACC1004,2114.23,Travel,False,False,False,0.0,Low
687,2024-01-03,ACC1014,2862.13,Electronics,False,False,False,0.0,Low
547,2024-01-03,ACC1002,470.09,Transfer,False,False,False,0.0,Low
450,2024-01-03,ACC1001,783.95,Transfer,False,False,False,0.0,Low
326,2024-01-04,ACC1002,1104.3,Utilities,False,False,False,0.0,Low
192,2024-01-04,ACC1007,1525.07,Utilities,False,False,False,0.0,Low
171,2024-01-04,ACC1002,449.92,Entertainment,False,False,False,0.0,Low
471,2024-01-04,ACC1005,2785.06,Entertainment,False,False,False,0.0,Low
469,2024-01-04,ACC1004,2285.1,Transfer,False,False,False,0.0,Low
605,2024-01-04,ACC1023,3647.14,Utilities,False,False,False,0.0,Low
603,2024-01-04,ACC1019,1474.22,Healthcare,False,False,False,0.0,Low
736,2024-01-04,ACC9999,1745.42,Entertainment,False,False,True,25.0,Low
656,2024-01-04,ACC1008,4384.12,Electronics,False,False,False,0.0,Low
554,2024-01-04,ACC1016,492.7,Healthcare,False,False,False,0.0,Low
752,2024-01-04,ACC9999,1104.47,Entertainment,False,False,True,25.0,Low
506,2024-01-04,ACC1018,682.72,Electronics,False,False,False,0.0,Low
499,2024-01-04,ACC1001,578.76,Groceries,False,False,False,0.0,Low
36,2024-01-04,ACC1004,2395.18,Utilities,False,False,False,0.0,Low
531,2024-01-04,ACC1014,1573.22,Electronics,False,False,False,0.0,Low
116,2024-01-05,ACC1017,1959.12,Dining,False,False,False,0.0,Low
99,2024-01-05,ACC1006,753.36,Healthcare,False,False,False,0.0,Low
684,2024-01-05,ACC1002,733.85,Groceries,False,False,False,0.0,Low
181,2024-01-05,ACC1015,1366.77,Electronics,False,False,False,0.0,Low
191,2024-01-05,ACC1009,2036.47,Groceries,False,False,False,0.0,Low
