date,city,temperature,condition
2024-01-01,Delhi,30.3,Rainy
2024-01-02,Delhi,32.5,Sunny
2024-01-03,Delhi,32.4,Sunny
2024-01-04,Delhi,33.5,Rainy
2024-01-05,Delhi,31.1,Sunny
2024-01-06,Delhi,31.2,Rainy
2024-01-07,Delhi,31.1,Rainy
2024-01-08,Delhi,30.6,Rainy
2024-01-09,Delhi,28.0,Rainy
2024-01-10,Delhi,33.4,Rainy
2024-01-11,Delhi,33.2,Sunny
2024-01-12,Delhi,29.7,Rainy
2024-01-13,Delhi,31.3,Sunny
2024-01-14,Delhi,30.8,Cloudy
2024-01-15,Delhi,30.9,Rainy
2024-01-16,Delhi,28.7,Rainy
2024-01-17,Delhi,31.0,Sunny
2024-01-18,Delhi,32.8,Rainy
2024-01-19,Delhi,35.8,Rainy
2024-01-20,Delhi,32.5,Rainy
2024-01-21,Delhi,32.1,Sunny
2024-01-22,Delhi,31.1,Rainy
2024-01-23,Delhi,31.0,Cloudy
2024-01-24,Delhi,33.3,Cloudy
2024-01-25,Delhi,32.3,Rainy
2024-01-26,Delhi,30.9,Cloudy
2024-01-27,Delhi,30.4,Sunny
2024-01-28,Delhi,31.6,Sunny
2024-01-29,Delhi,31.1,Rainy
2024-01-30,Delhi,31.9,Sunny
2024-01-01,Mumbai,30.2,Sunny
2024-01-02,Mumbai,28.2,Cloudy
2024-01-03,Mumbai,27.0,Cloudy
2024-01-04,Mumbai,27.7,Cloudy
2024-01-05,Mumbai,27.3,Sunny
2024-01-06,Mumbai,29.2,Sunny
2024-01-07,Mumbai,29.9,Sunny
2024-01-08,Mumbai,30.3,Sunny
2024-01-09,Mumbai,30.3,Rainy
2024-01-10,Mumbai,30.1,Sunny
2024-01-11,Mumbai,28.7,Cloudy
2024-01-12,Mumbai,28.0,Cloudy
2024-01-13,Mumbai,26.7,Sunny
2024-01-14,Mumbai,30.6,Cloudy
2024-01-15,Mumbai,28.7,Cloudy
2024-01-16,Mumbai,28.4,Sunny
2024-01-17,Mumbai,30.7,Sunny
2024-01-18,Mumbai,27.6,Sunny
2024-01-19,Mumbai,30.2,Cloudy
2024-01-20,Mumbai,29.4,Cloudy
2024-01-21,Mumbai,27.4,Cloudy
2024-01-22,Mumbai,28.8,Rainy
2024-01-23,Mumbai,30.4,Sunny
2024-01-24,Mumbai,30.1,Rainy
2024-01-25,Mumbai,31.2,Rainy
2024-01-26,Mumbai,29.5,Sunny
2024-01-27,Mumbai,34.0,Rainy
2024-01-28,Mumbai,27.6,Sunny
2024-01-29,Mumbai,28.3,Sunny
2024-01-30,Mumbai,28.9,Rainy
2024-01-01,Bangalore,23.4,Sunny
2024-01-02,Bangalore,21.9,Cloudy
2024-01-03,Bangalore,23.5,Rainy
2024-01-04,Bangalore,25.2,Rainy
2024-01-05,Bangalore,23.5,Sunny
2024-01-06,Bangalore,22.8,Sunny
2024-01-07,Bangalore,23.7,Rainy
2024-01-08,Bangalore,24.8,Rainy
2024-01-09,Bangalore,22.1,Cloudy
2024-01-10,Bangalore,22.6,Sunny
2024-01-11,Bangalore,24.3,Cloudy
2024-01-12,Bangalore,22.2,Cloudy
2024-01-13,Bangalore,27.0,Cloudy
2024-01-14,Bangalore,23.9,Sunny
2024-01-15,Bangalore,22.8,Cloudy
2024-01-16,Bangalore,22.9,Rainy
2024-01-17,Bangalore,23.4,Sunny
2024-01-18,Bangalore,23.3,Sunny
2024-01-19,Bangalore,21.0,Rainy
2024-01-20,Bangalore,26.1,Rainy
2024-01-21,Bangalore,24.2,Rainy
2024-01-22,Bangalore,24.2,Cloudy
2024-01-23,Bangalore,25.4,Cloudy
2024-01-24,Bangalore,22.6,Sunny
2024-01-25,Bangalore,23.1,Sunny
2024-01-26,Bangalore,24.9,Sunny
2024-01-27,Bangalore,24.2,Cloudy
2024-01-28,Bangalore,24.8,Rainy
2024-01-29,Bangalore,24.2,Sunny
2024-01-30,Bangalore,23.9,Cloudy
2024-01-01,Chennai,30.7,Sunny
2024-01-02,Chennai,33.1,Sunny
2024-01-03,Chennai,31.5,Sunny
2024-01-04,Chennai,33.8,Rainy
2024-01-05,Chennai,31.8,Sunny
2024-01-06,Chennai,35.5,Sunny
2024-01-07,Chennai,32.0,Cloudy
2024-01-08,Chennai,32.7,Cloudy
2024-01-09,Chennai,34.5,Sunny
2024-01-10,Chennai,31.4,Sunny
2024-01-11,Chennai,33.7,Sunny
2024-01-12,Chennai,35.3,Cloudy
2024-01-13,Chennai,31.0,Cloudy
2024-01-14,Chennai,33.7,Rainy
2024-01-15,Chennai,33.9,Cloudy
2024-01-16,Chennai,34.7,Rainy
2024-01-17,Chennai,31.7,Rainy
2024-01-18,Chennai,31.6,Rainy
2024-01-19,Chennai,34.4,Rainy
2024-01-20,Chennai,34.1,Rainy
2024-01-21,Chennai,34.0,Sunny
2024-01-22,Chennai,34.2,Cloudy
2024-01-23,Chennai,32.7,Rainy
2024-01-24,Chennai,34.1,Cloudy
2024-01-25,Chennai,34.2,Cloudy
2024-01-26,Chennai,32.8,Rainy
2024-01-27,Chennai,36.7,Sunny
2024-01-28,Chennai,34.6,Rainy
2024-01-29,Chennai,32.1,Sunny
2024-01-30,Chennai,34.9,Sunny
2024-01-01,Kolkata,29.4,Rainy
2024-01-02,Kolkata,30.8,Sunny
2024-01-03,Kolkata,34.3,Sunny
2024-01-04,Kolkata,30.1,Sunny
2024-01-05,Kolkata,30.2,Rainy
2024-01-06,Kolkata,30.5,Cloudy
2024-01-07,Kolkata,31.2,Sunny
2024-01-08,Kolkata,29.8,Sunny
2024-01-09,Kolkata,31.3,Sunny
2024-01-10,Kolkata,27.5,Sunny
2024-01-11,Kolkata,31.0,Sunny
2024-01-12,Kolkata,30.6,Rainy
2024-01-13,Kolkata,30.2,Rainy
2024-01-14,Kolkata,29.9,Sunny
2024-01-15,Kolkata,29.7,Cloudy
2024-01-16,Kolkata,29.5,Cloudy
2024-01-17,Kolkata,27.3,Cloudy
2024-01-18,Kolkata,30.4,Sunny
2024-01-19,Kolkata,32.5,Rainy
2024-01-20,Kolkata,30.4,Rainy
2024-01-21,Kolkata,31.9,Cloudy
2024-01-22,Kolkata,29.4,Cloudy
2024-01-23,Kolkata,29.1,Rainy
2024-01-24,Kolkata,29.9,Cloudy
2024-01-25,Kolkata,29.6,Sunny
2024-01-26,Kolkata,29.4,Rainy
2024-01-27,Kolkata,31.9,Cloudy
2024-01-28,Kolkata,33.9,Rainy
2024-01-29,Kolkata,30.3,Sunny
2024-01-30,Kolkata,28.8,Rainy
